prodid,TCSassetid,FIBEAssetID,vcmassetid,FONSEAssetID,IPVODAssetID,title,contract,licensestart,licenseend,FUTURE,FIBE,ALIANT,FONSE,IPVOD,VCM,VSPP,categories
5YJP,2PAYV,2PAYV,762SV,FONSEAssetID,,Scooby-Doo 2: Monstres déchaînés,592,2013/11/04 05:00,2050/01/01 04:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5YK2,2PBOV,2PBOV,AB4EV,FONSEAssetID,IETCV,Holmes le fait bien S1 Ep15,1150,2013/11/11 00:00,2018/08/25 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5YRI,2PLEV,2PLEV,9Z3KV,FONSEAssetID,IET9V,Holmes le fait bien S1 Ep14,1150,2013/11/09 00:00,2018/08/25 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5YVB,2PQHV,2PQHV,74F8V,FONSEAssetID,74F7V,Rapides et dangereux (2001) (v.fr. de Fast and The Furious),570,2013/10/31 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5YVM,2PQTV,2PQTV,74FAV,FONSEAssetID,74F9V,Rapides et dangereux : Tokyo Drift (v.fr. de The Fast and the Furious: Tokyo Drift),570,2013/11/07 00:00,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5YYT,2PV7V,2PV7V,8BF3V,FONSEAssetID,,Collatéral (v.fr. de Collateral),851,2013/11/05 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5YYV,2PV8V,2PV8V,75SFV,FONSEAssetID,,"Des hommes de loi , v.fr. (Lawless)",592,2013/11/05 00:01,2049/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5YZ3,2PVCV,2PVCV,8CCMV,FONSEAssetID,,Les Aventures de Tintin(v.fr. de The Adventures of Tintin),851,2013/11/05 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5YZ5,2PVDV,2PVDV,8CDEV,FONSEAssetID,,"Mission impossible, v.fr. (v.fr. de Mission: Impossible)",851,2013/11/06 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5YZ9,2PVFV,2PVFV,8CE3V,FONSEAssetID,,Méchantes ados (.v.fr. de Mean Girls),851,2013/11/06 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5YZD,2PVHV,2PVHV,8BADV,FONSEAssetID,,Mission impossible: protocole fantôme(v.fr. de Mission: Impossible - Ghost Protocol),851,2013/11/06 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5Z03,2PWLV,2PWLV,8CDMV,FONSEAssetID,,"Mission impossible 3, v.fr. (v.fr. Mission: Impossible III)",851,2013/11/07 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5Z0H,2PWTV,2PWTV,8CC4V,FONSEAssetID,,Le Cercle(v.fr. de The Ring),851,2013/11/07 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5Z2U,2PZTV,2PZTV,71QDV,FONSEAssetID,,Robin des bois (1991),1139,2013/08/01 00:00,2049/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
