prodid,TCSassetid,FIBEAssetID,vcmassetid,FONSEAssetID,IPVODAssetID,title,contract,licensestart,licenseend,FUTURE,FIBE,ALIANT,FONSE,IPVOD,VCM,VSPP,categories
5ZBY,2QEXV,2QEXV,A2NBV,FONSEAssetID,,Il faut sauver le soldat Ryan (v.fr. de Saving Private Ryan),851,2013/11/08 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5ZC0,2QEYV,2QEYV,8CD4V,FONSEAssetID,,Les Razmoket rencontrent les Delajungle(v.fr. de Rugrats Go Wild),851,2013/11/08 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5ZC4,2QF0V,2QF0V,6ZDCV,FONSEAssetID,,Transformers 3: La face cachée de la lune(v.fr. de Transformers: Darkside Of The Moon),851,2013/11/08 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5ZC6,2QF1V,2QF1V,6ZDJV,FONSEAssetID,,Transformers: La revanche(v.fr. de Transformers: Revenge Of The Fallen),851,2013/11/08 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5ZNT,2QWJV,2QWJV,A2CHV,FONSEAssetID,IETAV,Holmes le fait bien S1 Ep16,1150,2013/11/18 00:00,2018/08/25 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5ZPC,2QY5V,2QY5V,8CATV,FONSEAssetID,,Gladiateur (2000) (v.fr. de Gladiator),851,2013/11/06 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5ZPW,2QYRV,2QYRV,8CAXV,FONSEAssetID,,"Hugo (2011), v.fr.",851,2013/11/06 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5ZS8,2R0MV,2R0MV,PKMZV,FONSEAssetID,PKMYV,Mordu de la pêche - S.04 E.03,1166,2018/05/08 00:00,2018/09/08 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5ZSL,2R17V,2R17V,8CC6V,FONSEAssetID,,Le Fantôme (v.fr. de The Phantom),851,2013/11/07 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5ZSU,2R1KV,2R1KV,8BDLV,FONSEAssetID,,"Amistad, v.fr.",851,2013/11/05 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5ZT0,2R1TV,2R1TV,75SHV,FONSEAssetID,75SGV,Scooby-Doo! Et la légende du vampire (Scooby-Doo! And the Legend of the Vampire ),592,2013/11/04 00:00,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5ZT3,2R1XV,2R1XV,75SJV,FONSEAssetID,75SIV,"Scooby-Doo! Camp Scare, v.fr.",592,2013/11/04 00:00,2049/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5ZT5,2R1YV,2R1YV,8CCKV,FONSEAssetID,,Le petit monde de Charlotte 2(v.fr. de Charlotte's Web 2),851,2013/11/05 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5ZT7,2R1ZV,2R1ZV,8CB8V,FONSEAssetID,,Jours de tonnerre (v.fr. de Days Of Thunder),851,2013/11/05 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5ZU5,2R3MV,2R3MV,75AQV,FONSEAssetID,75APV,Rage meurtriere 3 (v.fr. de The Grudge 3),596,2013/11/08 00:00,2024/01/25 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5ZU7,2R3NV,2R3NV,75ASV,FONSEAssetID,75ARV,"Hellboy, v.fr.",596,2013/11/08 00:00,2019/03/25 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5ZU9,2R3OV,2R3OV,8CD0V,FONSEAssetID,,Les Maudits Jouets (v.fr. de Small Soldiers),851,2013/11/08 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
5ZX8,2R7EV,2R7EV,74FCV,FONSEAssetID,74FBV,The Breakfast Club,570,2013/09/20 00:01,2020/07/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5ZY0,2R8YV,2R8YV,81PEV,FONSEAssetID,5AQ2V,Bridge To Terabithia,794,2013/09/10 00:01,2035/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
5ZYB,2R9IV,2R9IV,8CD8V,FONSEAssetID,,"Les Razmoket, le film (v.fr. de The Rugrats Movie)",851,2013/11/08 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
6001,2RBQV,2RBQV,8CCRV,FONSEAssetID,,Les Dix Commandements (1956) (v.fr. de Ten Commandments (1956)),851,2013/11/08 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
6003,2RBRV,2RBRV,8CDIV,FONSEAssetID,,"Mission impossible 2, v.fr. (v.fr. de Mission: impossible II)",851,2013/11/06 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
6081,2RODV,2RODV,6ZL8V,FONSEAssetID,,Airplane!,851,2013/11/14 00:01,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
608Q,2ROVV,2ROVV,74ICV,FONSEAssetID,,The Babe,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
608S,2ROWV,2ROWV,74IDV,FONSEAssetID,,Casino,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
608U,2ROXV,2ROXV,74IEV,FONSEAssetID,,BASEketball,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
608W,2ROYV,2ROYV,8UNVV,FONSEAssetID,,The Amityville Horror (2005),594,2013/11/15 00:01,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
6097,2RPEV,2RPEV,71QNV,FONSEAssetID,71QMV,"Moulin rouge, v.fr.",1139,2013/08/01 00:00,2035/12/31 23:59,FUTURE,YES,YES,FONSE,YES,YES,VSPP,categories
609A,2RPGV,2RPGV,74IFV,FONSEAssetID,,Half Baked,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
609C,2RPHV,2RPHV,74IGV,FONSEAssetID,,The Great Outdoors,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
609E,2RPIV,2RPIV,74IHV,FONSEAssetID,,The Deer Hunter,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
609G,2RPJV,2RPJV,74IIV,FONSEAssetID,,Twins,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
609I,2RPKV,2RPKV,74IJV,FONSEAssetID,,Patch Adams,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
609K,2RPLV,2RPLV,71A7V,FONSEAssetID,,Eurotrip,851,2013/11/14 00:01,2035/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60AG,2RQUV,2RQUV,74IKV,FONSEAssetID,,United 93,570,2013/11/15 00:01,2020/10/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
60AI,2RQVV,2RQVV,ABGTV,FONSEAssetID,,Youngblood (1986),594,2013/11/15 00:01,2020/12/31 23:59,FUTURE,YES,YES,FONSE,NO,YES,VSPP,categories
